hhid,round,comment,LivestockID,animaltype,gender,s6q1,s6q2,s6q3,s6q4,s6q5,s6q6,s6q7,s6q66,s6q67
1006,6,0,Goats(Male),Goats,Male,0,,,,,,,,
1006,6,0,Goats(Female),Goats,Female,0,,,,,,,,
1006,6,0,Camels(Male),Camels,Male,0,,,,,,,,
1006,6,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1006,6,0,Cattle(Female),Cattle,Female,0,,,,,,,,
1006,6,0,Camels(Female),Camels,Female,0,,,,,,,,
1006,6,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1006,6,0,Cattle(Male),Cattle,Male,0,,,,,,,,
1007,1,,Camels(Female),Camels,Female,0,,,,,,,,
1007,1,,Camels(Male),Camels,Male,0,,,,,,,,
1007,1,,Cattle(Male),Cattle,Male,3,3,3,3,,,,,
1007,1,,Sheep(Male),Sheep,Male,0,,,,,,,,
1007,1,,Goats(Male),Goats,Male,0,,,,,,,,
1007,1,,Cattle(Female),Cattle,Female,1,1,1,1,0,0,0,,
1007,1,,Sheep(Female),Sheep,Female,0,,,,,,,,
1007,1,,Goats(Female),Goats,Female,0,,,,,,,,
1007,2,,Sheep(Female),Sheep,Female,0,0,0,0,0,0,0,,
1007,2,,Sheep(Male),Sheep,Male,0,0,0,0,,,,,
1007,2,,Cattle(Male),Cattle,Male,3,3,3,3,,,,,
1007,2,,Cattle(Female),Cattle,Female,0,0,0,0,0,0,0,,
1007,2,,Goats(Male),Goats,Male,0,0,0,0,,,,,
1007,2,,Goats(Female),Goats,Female,0,0,0,0,0,0,0,,
1007,2,,Camels(Female),Camels,Female,0,0,0,0,0,0,0,,
1007,2,,Camels(Male),Camels,Male,0,0,0,0,,,,,
1007,3,0,Sheep(Female),Sheep,Female,1,1,1,1,0,0,0,,
1007,3,0,Cattle(Male),Cattle,Male,1,1,1,1,,,,,
1007,3,0,Camels(Male),Camels,Male,0,,,,,,,,
1007,3,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1007,3,0,Goats(Male),Goats,Male,0,,,,,,,,
1007,3,0,Camels(Female),Camels,Female,0,,,,,,,,
1007,3,0,Cattle(Female),Cattle,Female,1,1,1,1,0,0,0,,
1007,3,0,Goats(Female),Goats,Female,0,,,,,,,,
1007,4,0,Cattle(Female),Cattle,Female,0,,,,,,,,
1007,4,0,Goats(Male),Goats,Male,0,,,,,,,,
1007,4,0,Cattle(Male),Cattle,Male,0,,,,,,,,
1007,4,0,Goats(Female),Goats,Female,0,,,,,,,,
1007,4,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1007,4,0,Camels(Male),Camels,Male,0,,,,,,,,
1007,4,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1007,4,0,Camels(Female),Camels,Female,0,,,,,,,,
1007,5,0,Goats(Female),Goats,Female,0,,,,,,,,
1007,5,0,Cattle(Female),Cattle,Female,1,1,1,1,0,0,0,,
1007,5,0,Goats(Male),Goats,Male,0,,,,,,,,
1007,5,0,Cattle(Male),Cattle,Male,1,1,1,1,,,,,
1007,5,0,Camels(Male),Camels,Male,0,,,,,,,,
1007,5,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1007,5,0,Camels(Female),Camels,Female,0,,,,,,,,
1007,5,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1007,6,0,Cattle(Male),Cattle,Male,3,3,2,0,,,,,
1007,6,0,Cattle(Female),Cattle,Female,2,2,1,0,1,0,1,,
1007,6,0,Camels(Male),Camels,Male,0,,,,,,,,
1007,6,0,Camels(Female),Camels,Female,0,,,,,,,,
1007,6,0,Goats(Female),Goats,Female,2,2,1,1,1,0,1,,
1007,6,0,Goats(Male),Goats,Male,0,,,,,,,,
1007,6,0,Sheep(Female),Sheep,Female,0,,,,,,,,
1007,6,0,Sheep(Male),Sheep,Male,0,,,,,,,,
1008,1,,Goats(Female),Goats,Female,0,,,,,,,,
